sequence_number,V_allele,D_allele,J_allele
8802,ighv3-64d*09,ighd5-18*01,ighj4*02
8803,ighv2-70d*04,ighd2-2*01,ighj5*01
8804,ighv1-45*01,ighd1-26*01,ighj5*01
8805,ighv1-45*01,ighd2-21*02,ighj4*03
8806,ighv3-nl1*01,ighd5-12*01,ighj4*03
8807,ighv1-69*14,ighd4-17*01,ighj6*01
8808,ighv1-3*03,ighd3-16*02,ighj4*03
8809,ighv3-30*03,ighd6-25*01,ighj4*02
8810,ighv1-18*04,ighd4-4*01,ighj4*03
8811,ighv2-70d*04,ighd4-17*01,ighj4*03
8812,ighv3-53*02,ighd4-17*01,ighj4*03
8813,ighv3-64d*06,ighd3-3*02,ighj4*03
8814,ighv1-3*02,ighd5-5*01,ighj4*02
8815,ighv1-69d*01,ighd3-22*01,ighj1*01
8816,ighv3-15*05,ighd2-21*01,ighj4*02
8817,ighv3-72*01,ighd2-2*02,ighj4*02
8818,ighv6-1*01,ighd6-13*01,ighj6*04
8819,ighv1-58*01,ighd6-6*01,ighj4*02
8820,ighv2-70d*04,ighd2-21*02,ighj4*03
8821,ighv1-3*02,ighd1-7*01,ighj4*02
8822,ighv2-26*02,ighd1-7*01,ighj3*02
8823,ighv1-18*04,ighd6-6*01,ighj4*03
8824,ighv1-8*02,ighd1-20*01,ighj4*03
8825,ighv3-9*02,ighd3-3*02,ighj4*03
8826,ighv3-43d*03,ighd2-8*02,ighj4*03
8827,ighv1-2*07,ighd5-12*01,ighj5*01
8828,ighv3-21*02,ighd3-16*01,ighj6*04
8829,ighv3-30*03,ighd3-16*01,ighj3*01
8830,ighv1-3*02,ighd6-25*01,ighj6*04
8831,ighv2-26*03,ighd3-16*01,ighj4*02
8832,ighv3-23d*01,ighd2-15*01,ighj4*02
8833,ighv3-23d*01,ighd2-15*01,ighj4*02
8834,ighv1-18*04,ighd4-17*01,ighj4*03
8835,ighv1-69*09,ighd5-12*01,ighj4*02
8836,ighv1-2*07,ighd6-19*01,ighj6*01
8837,ighv1-18*03,ighd3-16*01,ighj6*04
8838,ighv1-69*09,ighd5-12*01,ighj4*02
8839,ighv3-15*06,ighd3-9*01,ighj4*03
8840,ighv4-28*06,ighd6-13*01,ighj6*01
8841,ighv3-53*02,ighd3-16*02,ighj6*01
8842,ighv1-58*02,ighd1-1*01,ighj4*03
8843,ighv1-69d*01,ighd1-1*01,ighj4*03
8844,ighv1-46*03,ighd4-4*01,ighj6*04
8845,ighv2-70d*04,ighd1-7*01,ighj3*02
8846,ighv5-51*07,ighd2-8*02,ighj6*01
8847,ighv4-31*02,ighd2-21*02,ighj4*03
8848,ighv3-66*03,ighd3-3*01,ighj4*02
8849,ighv4-28*05,ighd3-9*01,ighj4*02
8850,ighv2-70*20,ighd6-6*01,ighj4*03
8851,ighv1-18*04,ighd4-17*01,ighj4*03
8852,ighv1-45*01,ighd5-5*01,ighj6*01
8853,ighv1-8*02,ighd2-15*01,ighj4*03
8854,ighv1-69d*01,ighd6-25*01,ighj4*03
8855,ighv3-11*05,ighd3-16*01,ighj4*02
8856,ighv1-2*07,ighd3-22*01,ighj4*03
8857,ighv2-26*02,ighd3-16*02,ighj3*02
8858,ighv1-24*01,ighd6-13*01,ighj5*02
8859,ighv1-2*06,ighd3-3*01,ighj4*02
8860,ighv1-58*02,ighd3-3*02,ighj5*01
8861,ighv1-24*01,ighd1-1*01,ighj3*01
8862,ighv2-70*20,ighd4-4*01,ighj3*02
8863,ighv1-18*03,ighd2-2*02,ighj4*02
8864,ighv1-8*01,ighd5-12*01,ighj1*01
8865,ighv1-8*02,ighd3-3*02,ighj2*01
8866,ighv1-18*03,ighd6-25*01,ighj4*02
8867,ighv3-9*02,ighd3-3*02,ighj6*01
8868,ighv7-4-1*02,ighd3-3*01,ighj4*02
8869,ighv3-73*02,ighd3-16*01,ighj5*02
8870,ighv5-51*07,ighd4-17*01,ighj4*03
8871,ighv2-70d*04,ighd6-25*01,ighj6*01
8872,ighv1-69-2*01,ighd2-2*01,ighj5*01
8873,ighv3-66*03,ighd2-8*01,ighj4*02
8874,ighv1-58*02,ighd7-27*01,ighj4*03
8875,ighv3-74*03,ighd1-1*01,ighj5*02
8876,ighv1-18*03,ighd6-13*01,ighj4*02
8877,ighv1-2*07,ighd5-5*01,ighj3*02
8878,ighv2-70d*14,ighd2-15*01,ighj5*02
8879,ighv3-9*02,ighd5-12*01,ighj4*03
8880,ighv1-8*01,ighd4-17*01,ighj6*04
8881,ighv4-30-2*03,ighd3-3*01,ighj4*02
8882,ighv1-58*01,ighd3-10*01,ighj6*04
8883,ighv1-46*04,ighd3-9*01,ighj6*01
8884,ighv2-26*03,ighd1-26*01,ighj4*02
8885,ighv1-69d*01,ighd6-6*01,ighj4*02
8886,ighv2-70*20,ighd1-1*01,ighj4*03
8887,ighv2-26*03,ighd3-9*01,ighj4*02
8888,ighv3-62*04,ighd3-3*02,ighj4*03
8889,ighv1-2*06,ighd3-16*01,ighj6*04
8890,ighv1-18*04,ighd2-21*02,ighj4*03
8891,ighv2-70*20,ighd1-20*01,ighj4*03
8892,ighv4-30-4*01,ighd3-3*01,ighj4*02
8893,ighv4-30-4*02,ighd4-4*01,ighj5*01
8894,ighv3-35*02,ighd3-16*02,ighj3*02
8895,ighv1-69d*01,ighd6-6*01,ighj4*02
8896,ighv3-23d*01,ighd3-3*01,ighj4*02
8897,ighv1-46*03,ighd1-7*01,ighj4*02
8898,ighv3-49*05,ighd2-2*01,ighj5*01
8899,ighv3-64*05,ighd2-21*01,ighj4*02
8900,ighv1-58*01,ighd2-8*01,ighj6*04
8901,ighv5-10-1*04,ighd1-26*01,ighj4*03
8902,ighv3-49*05,ighd3-3*02,ighj4*03
8903,ighv1-69d*01,ighd6-13*01,ighj4*03
8904,ighv1-46*03,ighd1-26*01,ighj4*02
8905,ighv4-30-2*05,ighd2-15*01,ighj6*01
8906,ighv3-64d*09,ighd3-10*01,ighj4*02
8907,ighv1-45*01,ighd4-4*01,ighj5*01
8908,ighv1-45*02,ighd2-8*01,ighj4*02
8909,ighv3-15*05,ighd6-19*01,ighj6*04
8910,ighv1-58*01,ighd5-12*01,ighj6*04
8911,ighv1-69-2*01,ighd3-22*01,ighj4*02
8912,ighv1-2*06,ighd3-3*01,ighj1*01
8913,ighv1-2*07,ighd6-25*01,ighj4*03
8914,ighv1-45*01,ighd2-8*02,ighj6*01
8915,ighv1-2*07,ighd1-7*01,ighj6*01
8916,ighv1-45*02,ighd7-27*01,ighj3*01
8917,ighv6-1*01,ighd2-8*01,ighj4*02
8918,ighv3-35*02,ighd6-6*01,ighj4*03
8919,ighv3-nl1*01,ighd6-25*01,ighj4*03
8920,ighv1-69-2*01,ighd2-8*01,ighj4*02
8921,ighv3-62*04,ighd6-25*01,ighj6*04
8922,ighv1-46*04,ighd1-26*01,ighj3*02
8923,ighv3-11*05,ighd3-16*01,ighj4*02
8924,ighv2-70d*14,ighd3-16*01,ighj4*02
8925,ighv3-nl1*01,ighd5-12*01,ighj4*03
8926,ighv2-5*02,ighd3-10*02,ighj4*03
8927,ighv1-8*01,ighd6-6*01,ighj3*01
8928,ighv2-70*20,ighd4-17*01,ighj4*03
8929,ighv3-13*05,ighd4-17*01,ighj4*03
8930,ighv1-3*03,ighd2-21*02,ighj6*01
8931,ighv1-18*03,ighd3-22*01,ighj4*02
8932,ighv2-70d*14,ighd6-25*01,ighj4*02
8933,ighv3-66*01,ighd3-10*02,ighj4*03
8934,ighv2-70d*04,ighd6-6*01,ighj4*03
8935,ighv1-58*02,ighd6-25*01,ighj4*03
8936,ighv5-10-1*03,ighd3-3*01,ighj3*01
8937,ighv2-70*20,ighd3-16*02,ighj6*01
8938,ighv1-58*01,ighd3-10*01,ighj5*02
8939,ighv1-2*06,ighd3-3*01,ighj6*04
8940,ighv1-2*06,ighd3-10*01,ighj6*04
8941,ighv2-70*20,ighd6-13*01,ighj6*01
8942,ighv4-30-2*03,ighd3-22*01,ighj1*01
8943,ighv3-64d*06,ighd2-21*02,ighj6*01
8944,ighv1-69*14,ighd1-20*01,ighj2*01
8945,ighv3-43d*04,ighd3-9*01,ighj4*02
8946,ighv3-23*04,ighd2-21*02,ighj4*03
8947,ighv2-26*02,ighd5-12*01,ighj5*01
8948,ighv2-26*03,ighd3-3*01,ighj4*02
8949,ighv1-58*02,ighd3-9*01,ighj6*01
8950,ighv1-69d*01,ighd3-22*01,ighj6*01
8951,ighv3-nl1*01,ighd2-15*01,ighj5*01
8952,ighv2-70d*04,ighd2-2*01,ighj5*01
8953,ighv3-23d*01,ighd6-25*01,ighj5*02
8954,ighv3-11*06,ighd4-4*01,ighj4*03
8955,ighv1-18*03,ighd1-20*01,ighj4*02
8956,ighv4-30-2*03,ighd2-15*01,ighj4*02
8957,ighv3-15*05,ighd1-1*01,ighj5*02
8958,ighv3-62*04,ighd4-4*01,ighj6*04
8959,ighv1-2*07,ighd2-2*01,ighj5*01
8960,ighv1-46*04,ighd2-8*02,ighj3*02
8961,ighv7-4-1*01,ighd1-7*01,ighj6*01
8962,ighv2-5*02,ighd3-10*02,ighj4*03
8963,ighv2-70*20,ighd4-17*01,ighj4*03
8964,ighv3-53*01,ighd6-6*01,ighj6*04
8965,ighv3-49*05,ighd2-2*01,ighj4*03
8966,ighv1-58*02,ighd5-5*01,ighj2*01
8967,ighv1-58*01,ighd2-15*01,ighj4*02
8968,ighv4-31*02,ighd5-18*01,ighj4*03
8969,ighv2-26*02,ighd3-9*01,ighj5*01
8970,ighv3-21*06,ighd6-19*01,ighj2*01
8971,ighv1-69-2*01,ighd3-3*01,ighj4*02
8972,ighv1-24*01,ighd1-26*01,ighj6*04
8973,ighv3-53*02,ighd3-16*02,ighj6*01
8974,ighv1-8*01,ighd1-7*01,ighj4*02
8975,ighv1-18*04,ighd2-8*02,ighj4*03
8976,ighv2-70*10,ighd4-4*01,ighj4*02
8977,ighv1-69d*01,ighd1-20*01,ighj4*02
8978,ighv3-73*02,ighd5-5*01,ighj6*04
8979,ighv1-18*03,ighd3-22*01,ighj4*02
8980,ighv1-2*07,ighd5-12*01,ighj4*03
8981,ighv1-46*03,ighd5-18*01,ighj4*02
8982,ighv7-4-1*02,ighd4-4*01,ighj4*02
8983,ighv7-4-1*01,ighd2-15*01,ighj4*03
8984,ighv2-26*03,ighd3-16*01,ighj4*02
8985,ighv2-5*01,ighd6-19*01,ighj4*02
8986,ighv3-30*03,ighd4-4*01,ighj4*02
8987,ighv3-30*03,ighd5-5*01,ighj5*02
8988,ighv1-69-2*01,ighd1-1*01,ighj5*01
8989,ighv1-18*04,ighd6-6*01,ighj4*03
8990,ighv6-1*01,ighd3-16*01,ighj6*04
8991,ighv2-70d*04,ighd2-2*01,ighj5*01
8992,ighv4-59*01,ighd5-12*01,ighj1*01
8993,ighv3-23d*01,ighd6-6*01,ighj4*03
8994,ighv3-66*01,ighd3-3*02,ighj6*01
8995,ighv3-nl1*01,ighd6-13*01,ighj6*04
8996,ighv2-70*20,ighd3-10*02,ighj4*03
8997,ighv2-26*03,ighd6-19*01,ighj6*04
8998,ighv3-64*03,ighd2-2*01,ighj5*01
8999,ighv2-26*03,ighd1-20*01,ighj3*01
9000,ighv3-23*01,ighd6-6*01,ighj4*02
9001,ighv3-43d*04,ighd2-21*01,ighj5*02
9002,ighv1-69d*01,ighd3-22*01,ighj5*01
9003,ighv1-8*02,ighd1-26*01,ighj4*03
9004,ighv1-58*01,ighd4-4*01,ighj5*02
9005,ighv2-70*20,ighd3-22*01,ighj5*01
9006,ighv3-62*04,ighd5-5*01,ighj5*02
9007,ighv3-74*03,ighd2-8*01,ighj5*02
9008,ighv1-69d*01,ighd3-10*01,ighj3*01
9009,ighv2-5*02,ighd5-18*01,ighj5*01
9010,ighv4-34*10,ighd1-20*01,ighj5*01
9011,ighv1-24*01,ighd6-25*01,ighj4*02
9012,ighv3-72*01,ighd3-22*01,ighj6*04
9013,ighv1-69*14,ighd1-20*01,ighj4*03
9014,ighv3-64d*06,ighd2-2*01,ighj3*02
9015,ighv3-15*06,ighd1-20*01,ighj3*02
9016,ighv3-62*04,ighd3-3*01,ighj4*02
9017,ighv3-30-3*02,ighd6-19*01,ighj3*02
9018,ighv1-24*01,ighd3-3*01,ighj4*02
9019,ighv1-45*02,ighd5-18*01,ighj4*02
9020,ighv4-39*06,ighd1-20*01,ighj5*02
9021,ighv1-58*01,ighd3-22*01,ighj4*02
9022,ighv2-26*03,ighd2-8*01,ighj3*01
9023,ighv3-53*01,ighd6-6*01,ighj3*01
9024,ighv3-49*05,ighd1-26*01,ighj4*03
9025,ighv1-58*02,ighd1-26*01,ighj4*03
9026,ighv1-58*01,ighd3-9*01,ighj4*02
9027,ighv6-1*02,ighd2-21*02,ighj4*03
9028,ighv3-9*02,ighd5-12*01,ighj4*03
9029,ighv2-70*20,ighd5-18*01,ighj5*01
9030,ighv1-69d*01,ighd3-22*01,ighj4*02
9031,ighv1-69-2*01,ighd2-15*01,ighj6*01
9032,ighv1-3*03,ighd6-6*01,ighj3*02
9033,ighv1-69d*01,ighd3-9*01,ighj4*02
9034,ighv1-45*02,ighd6-19*01,ighj6*04
9035,ighv1-45*02,ighd6-19*01,ighj6*04
9036,ighv1-45*01,ighd1-1*01,ighj6*01
9037,ighv4-4*08,ighd6-13*01,ighj4*03
9038,ighv2-26*02,ighd5-12*01,ighj4*03
9039,ighv1-69*14,ighd6-6*01,ighj4*03
9040,ighv4-30-4*01,ighd3-16*01,ighj4*02
9041,ighv1-24*01,ighd4-4*01,ighj3*01
9042,ighv1-58*02,ighd3-9*01,ighj6*01
9043,ighv1-69-2*01,ighd1-26*01,ighj5*01
9044,ighv4-61*02,ighd6-6*01,ighj6*04
9045,ighv3-20*04,ighd3-3*01,ighj4*02
9046,ighv3-33*06,ighd3-16*01,ighj4*02
9047,ighv4-59*11,ighd6-19*01,ighj4*03
9048,ighv3-73*01,ighd1-26*01,ighj4*03
9049,ighv1-8*02,ighd6-25*01,ighj4*03
9050,ighv2-5*01,ighd3-22*01,ighj3*01
9051,ighv3-53*01,ighd3-10*01,ighj4*02
9052,ighv1-2*07,ighd3-16*02,ighj4*03
9053,ighv1-46*03,ighd2-8*01,ighj2*01
9054,ighv1-45*01,ighd3-22*01,ighj4*03
9055,ighv4-38-2*01,ighd3-16*01,ighj6*04
9056,ighv3-23d*01,ighd1-20*01,ighj6*04
9057,ighv2-70*20,ighd2-21*02,ighj5*01
9058,ighv3-62*04,ighd6-25*01,ighj6*01
9059,ighv1-58*01,ighd6-19*01,ighj6*04
9060,ighv3-30-3*02,ighd6-13*01,ighj6*01
9061,ighv3-7*03,ighd1-26*01,ighj4*03
9062,ighv3-66*01,ighd6-25*01,ighj4*03
9063,ighv4-34*10,ighd1-7*01,ighj6*01
9064,ighv2-26*03,ighd2-8*01,ighj5*02
9065,ighv5-51*07,ighd1-20*01,ighj3*02
9066,ighv2-26*03,ighd2-2*02,ighj4*02
9067,ighv3-30*04,ighd6-25*01,ighj4*03
9068,ighv3-9*02,ighd2-2*01,ighj5*01
9069,ighv1-18*04,ighd5-12*01,ighj4*03
9070,ighv1-45*02,ighd6-19*01,ighj4*02
9071,ighv2-70d*04,ighd3-16*02,ighj6*01
9072,ighv1-8*02,ighd2-2*01,ighj4*03
9073,ighv1-3*03,ighd3-22*01,ighj4*03
9074,ighv1-69*14,ighd4-17*01,ighj4*03
9075,ighv1-8*02,ighd3-16*02,ighj4*03
9076,ighv3-20*04,ighd6-13*01,ighj4*02
9077,ighv1-3*02,ighd5-5*01,ighj4*02
9078,ighv1-69d*01,ighd3-9*01,ighj3*01
9079,ighv2-70d*14,ighd6-13*01,ighj4*02
9080,ighv3-30*03,ighd3-9*01,ighj3*01
9081,ighv3-48*03,ighd6-19*01,ighj4*02
9082,ighv3-30-5*01,ighd3-3*01,ighj3*01
9083,ighv1-58*01,ighd2-21*01,ighj4*02
9084,ighv7-4-1*01,ighd3-3*02,ighj5*01
9085,ighv3-74*03,ighd1-1*01,ighj3*01
9086,ighv3-74*03,ighd6-25*01,ighj4*02
9087,ighv1-2*07,ighd6-6*01,ighj6*01
9088,ighv1-69*09,ighd3-3*01,ighj6*04
9089,ighv1-69*14,ighd4-17*01,ighj4*03
9090,ighv2-26*03,ighd3-3*01,ighj5*02
9091,ighv1-69d*01,ighd1-20*01,ighj4*02
9092,ighv2-26*03,ighd3-22*01,ighj6*04
9093,ighv3-43d*04,ighd4-17*01,ighj4*02
9094,ighv1-69-2*01,ighd5-5*01,ighj4*03
9095,ighv1-69*14,ighd3-16*02,ighj5*01
9096,ighv3-66*03,ighd6-6*01,ighj6*04
9097,ighv2-70d*04,ighd5-5*01,ighj4*03
9098,ighv3-33*02,ighd6-25*01,ighj6*01
9099,ighv2-70d*14,ighd3-3*01,ighj5*02
9100,ighv2-70d*04,ighd1-7*01,ighj6*01
9101,ighv1-46*04,ighd3-22*01,ighj4*03
9102,ighv2-70*10,ighd1-1*01,ighj6*04
9103,ighv1-18*04,ighd2-21*02,ighj4*03
9104,ighv1-24*01,ighd4-17*01,ighj4*03
9105,ighv3-48*04,ighd6-6*01,ighj2*01
9106,ighv1-69*14,ighd2-8*02,ighj6*01
9107,ighv4-28*05,ighd6-6*01,ighj6*04
9108,ighv1-3*02,ighd2-8*01,ighj5*02
9109,ighv3-72*01,ighd7-27*01,ighj4*02
9110,ighv3-43*02,ighd1-7*01,ighj6*04
9111,ighv3-62*04,ighd2-2*01,ighj4*03
9112,ighv3-7*05,ighd6-25*01,ighj5*02
9113,ighv2-26*03,ighd3-22*01,ighj5*02
9114,ighv1-69*09,ighd5-5*01,ighj3*01
9115,ighv4-61*08,ighd5-12*01,ighj4*03
9116,ighv3-74*03,ighd3-10*01,ighj5*02
9117,ighv2-26*03,ighd6-13*01,ighj6*04
9118,ighv2-70*10,ighd7-27*01,ighj4*02
9119,ighv1-8*01,ighd5-5*01,ighj4*02
9120,ighv4-34*10,ighd6-6*01,ighj4*03
9121,ighv3-73*02,ighd6-25*01,ighj4*02
9122,ighv1-24*01,ighd3-9*01,ighj6*01
9123,ighv1-45*01,ighd4-17*01,ighj4*03
9124,ighv1-18*03,ighd6-6*01,ighj4*02
9125,ighv3-73*01,ighd6-6*01,ighj6*01
9126,ighv2-70d*04,ighd2-15*01,ighj4*03
9127,ighv7-4-1*01,ighd6-6*01,ighj5*01
9128,ighv1-69d*01,ighd2-21*01,ighj5*02
9129,ighv4-4*01,ighd3-3*01,ighj4*02
9130,ighv2-70d*04,ighd5-5*01,ighj4*03
9131,ighv2-26*03,ighd3-10*01,ighj6*04
9132,ighv2-70d*14,ighd5-5*01,ighj4*02
9133,ighv1-3*02,ighd1-26*01,ighj6*04
9134,ighv1-69-2*01,ighd3-10*01,ighj4*02
9135,ighv4-59*11,ighd5-12*01,ighj3*02
9136,ighv2-26*03,ighd4-17*01,ighj3*01
9137,ighv1-18*03,ighd2-21*01,ighj3*01
9138,ighv2-26*03,ighd1-26*01,ighj4*02
9139,ighv3-66*01,ighd1-26*01,ighj4*03
9140,ighv2-5*02,ighd4-17*01,ighj6*01
9141,ighv2-70*20,ighd2-21*02,ighj4*03
9142,ighv1-69d*01,ighd2-15*01,ighj5*01
9143,ighv1-69*09,ighd3-22*01,ighj6*04
9144,ighv3-33*06,ighd2-2*02,ighj6*04
9145,ighv3-66*03,ighd1-1*01,ighj4*02
9146,ighv3-23d*01,ighd1-1*01,ighj3*02
9147,ighv4-61*08,ighd2-21*02,ighj4*03
9148,ighv3-21*02,ighd3-16*01,ighj4*02
9149,ighv1-2*06,ighd2-15*01,ighj5*02
9150,ighv4-59*11,ighd4-17*01,ighj4*03
9151,ighv3-49*05,ighd6-19*01,ighj4*03
9152,ighv4-61*02,ighd3-10*01,ighj4*02
9153,ighv1-24*01,ighd3-22*01,ighj5*01
9154,ighv3-66*03,ighd5-5*01,ighj4*02
9155,ighv1-18*03,ighd3-9*01,ighj5*02
9156,ighv3-13*01,ighd6-25*01,ighj4*02
9157,ighv1-69d*01,ighd5-12*01,ighj4*03
9158,ighv1-2*07,ighd3-10*02,ighj4*03
9159,ighv3-33*02,ighd5-18*01,ighj4*03
9160,ighv2-5*02,ighd3-22*01,ighj6*01
9161,ighv4-31*10,ighd1-7*01,ighj2*01
9162,ighv4-28*05,ighd3-16*01,ighj3*01
9163,ighv4-30-4*01,ighd1-20*01,ighj3*01
9164,ighv3-nl1*01,ighd3-10*01,ighj4*02
9165,ighv1-24*01,ighd1-20*01,ighj6*04
9166,ighv1-8*02,ighd2-2*01,ighj1*01
9167,ighv2-70d*04,ighd3-9*01,ighj4*03
9168,ighv1-18*04,ighd2-2*01,ighj5*01
9169,ighv3-53*01,ighd6-6*01,ighj3*01
9170,ighv2-70*20,ighd2-2*01,ighj6*01
9171,ighv1-58*02,ighd1-1*01,ighj4*03
9172,ighv3-7*03,ighd2-8*02,ighj4*03
9173,ighv3-23d*01,ighd6-13*01,ighj6*04
9174,ighv3-30-3*02,ighd3-16*02,ighj6*01
9175,ighv1-46*04,ighd2-8*02,ighj4*03
9176,ighv1-46*03,ighd6-19*01,ighj4*02
9177,ighv1-3*02,ighd1-1*01,ighj3*01
9178,ighv4-4*08,ighd3-16*02,ighj4*03
9179,ighv2-70d*04,ighd1-20*01,ighj4*03
9180,ighv3-48*04,ighd6-25*01,ighj4*03
9181,ighv4-30-2*03,ighd3-10*01,ighj1*01
9182,ighv1-46*04,ighd6-13*01,ighj4*03
9183,ighv1-3*03,ighd6-19*01,ighj5*01
9184,ighv3-53*02,ighd6-6*01,ighj3*02
9185,ighv2-26*03,ighd6-6*01,ighj4*02
9186,ighv2-5*01,ighd3-22*01,ighj6*04
9187,ighv3-48*04,ighd6-6*01,ighj6*01
9188,ighv2-26*02,ighd3-22*01,ighj4*03
9189,ighv1-45*02,ighd5-5*01,ighj4*02
9190,ighv2-70d*14,ighd1-7*01,ighj4*02
9191,ighv1-69-2*01,ighd3-22*01,ighj4*03
9192,ighv3-43d*04,ighd3-10*01,ighj6*04
9193,ighv1-8*02,ighd2-8*02,ighj4*03
9194,ighv1-69d*01,ighd3-22*01,ighj6*01
9195,ighv4-30-2*05,ighd6-6*01,ighj5*01
9196,ighv7-4-1*01,ighd4-4*01,ighj5*01
9197,ighv3-20*01,ighd5-18*01,ighj6*01
9198,ighv1-46*03,ighd2-8*01,ighj4*02
9199,ighv1-18*04,ighd6-13*01,ighj4*03
9200,ighv2-70d*14,ighd1-26*01,ighj4*02
9201,ighv1-46*04,ighd2-2*01,ighj5*01
9202,ighv3-73*02,ighd3-9*01,ighj4*02
9203,ighv3-23*01,ighd1-20*01,ighj3*01
9204,ighv1-69d*01,ighd1-20*01,ighj4*02
9205,ighv1-69*14,ighd6-19*01,ighj6*01
9206,ighv1-46*03,ighd6-25*01,ighj4*02
9207,ighv2-70*10,ighd2-2*02,ighj6*04
9208,ighv1-46*04,ighd2-21*02,ighj3*02
9209,ighv3-20*04,ighd3-22*01,ighj4*02
9210,ighv4-39*06,ighd1-26*01,ighj4*02
9211,ighv4-31*02,ighd6-6*01,ighj6*01
9212,ighv4-4*08,ighd6-6*01,ighj1*01
9213,ighv4-28*06,ighd3-10*02,ighj6*01
9214,ighv1-69-2*01,ighd5-5*01,ighj3*02
9215,ighv2-5*02,ighd6-6*01,ighj4*03
9216,ighv3-15*06,ighd4-4*01,ighj4*03
9217,ighv2-70d*04,ighd2-2*01,ighj4*03
9218,ighv2-70d*14,ighd1-20*01,ighj4*02
9219,ighv3-49*01,ighd1-26*01,ighj3*01
9220,ighv3-74*03,ighd6-19*01,ighj4*02
9221,ighv1-8*01,ighd3-3*01,ighj4*02
9222,ighv3-9*02,ighd6-19*01,ighj2*01
9223,ighv1-2*07,ighd6-19*01,ighj4*03
9224,ighv1-2*06,ighd3-22*01,ighj4*02
9225,ighv1-2*07,ighd6-6*01,ighj4*03
9226,ighv3-7*03,ighd3-22*01,ighj4*03
9227,ighv3-15*06,ighd3-22*01,ighj4*03
9228,ighv5-51*03,ighd3-3*01,ighj4*02
9229,ighv1-18*03,ighd3-3*01,ighj4*02
9230,ighv1-8*02,ighd3-22*01,ighj5*01
9231,ighv2-70*10,ighd3-22*01,ighj5*02
9232,ighv1-24*01,ighd1-26*01,ighj4*03
9233,ighv3-72*01,ighd3-10*01,ighj4*02
9234,ighv1-3*02,ighd7-27*01,ighj4*02
9235,ighv1-24*01,ighd6-6*01,ighj4*02
9236,ighv2-26*03,ighd1-1*01,ighj4*02
9237,ighv1-69d*01,ighd5-18*01,ighj4*03
9238,ighv4-28*06,ighd3-22*01,ighj1*01
9239,ighv2-70d*14,ighd3-22*01,ighj4*02
9240,ighv1-69*09,ighd3-3*01,ighj4*02
9241,ighv3-20*04,ighd2-15*01,ighj4*02
9242,ighv3-35*02,ighd3-22*01,ighj5*02
9243,ighv1-3*03,ighd3-3*02,ighj4*03
9244,ighv1-3*02,ighd3-16*01,ighj4*02
9245,ighv1-69d*01,ighd3-16*01,ighj4*02
9246,ighv3-23d*01,ighd4-17*01,ighj4*02
9247,ighv1-69*09,ighd6-19*01,ighj4*02
9248,ighv2-70*20,ighd3-10*02,ighj1*01
9249,ighv3-48*03,ighd6-25*01,ighj5*02
9250,ighv2-70d*14,ighd6-13*01,ighj4*02
9251,ighv1-18*04,ighd3-3*02,ighj4*03
9252,ighv1-69*09,ighd4-4*01,ighj6*04
9253,ighv3-21*02,ighd4-17*01,ighj4*02
9254,ighv4-28*06,ighd2-2*01,ighj3*02
9255,ighv1-8*02,ighd2-21*02,ighj5*01
9256,ighv1-58*02,ighd5-5*01,ighj4*03
9257,ighv1-58*01,ighd2-8*01,ighj3*01
9258,ighv3-48*03,ighd4-4*01,ighj4*02
9259,ighv2-70*20,ighd3-10*02,ighj4*03
9260,ighv1-45*01,ighd1-26*01,ighj4*03
9261,ighv3-nl1*01,ighd5-18*01,ighj6*01
9262,ighv1-46*04,ighd5-18*01,ighj3*02
9263,ighv2-26*02,ighd2-21*02,ighj6*01
9264,ighv3-30-3*03,ighd2-15*01,ighj4*02
9265,ighv1-69d*01,ighd2-8*01,ighj6*04
9266,ighv1-69*09,ighd6-25*01,ighj3*01
9267,ighv1-69d*01,ighd6-13*01,ighj4*02
9268,ighv3-73*02,ighd3-10*01,ighj3*01
9269,ighv1-58*01,ighd2-8*01,ighj4*02
9270,ighv3-48*03,ighd2-8*01,ighj5*02
9271,ighv6-1*01,ighd1-20*01,ighj6*04
9272,ighv1-46*03,ighd3-10*01,ighj2*01
9273,ighv1-46*04,ighd3-10*02,ighj4*03
9274,ighv1-2*07,ighd6-6*01,ighj3*02
9275,ighv3-64d*06,ighd6-19*01,ighj4*03
9276,ighv1-3*02,ighd1-26*01,ighj4*02
9277,ighv3-13*05,ighd5-5*01,ighj2*01
9278,ighv3-20*01,ighd5-12*01,ighj5*01
9279,ighv2-26*03,ighd1-26*01,ighj5*02
9280,ighv3-64*03,ighd1-26*01,ighj4*03
9281,ighv1-18*04,ighd3-3*02,ighj3*02
9282,ighv3-15*06,ighd3-16*02,ighj6*01
9283,ighv3-nl1*01,ighd3-22*01,ighj5*01
9284,ighv3-64*05,ighd6-25*01,ighj3*01
9285,ighv2-5*02,ighd5-18*01,ighj4*03
9286,ighv2-5*01,ighd3-16*01,ighj5*02
9287,ighv3-23d*01,ighd5-5*01,ighj5*01
9288,ighv1-8*01,ighd2-15*01,ighj5*02
9289,ighv3-72*01,ighd3-16*01,ighj4*02
9290,ighv3-43d*04,ighd5-18*01,ighj5*02
9291,ighv1-69*14,ighd3-3*02,ighj5*01
9292,ighv1-18*03,ighd5-5*01,ighj4*02
9293,ighv3-49*05,ighd3-22*01,ighj3*02
9294,ighv2-70d*04,ighd2-15*01,ighj2*01
